flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	specificity	FBbt_id	FBbt_name
afferent	ascending	AN	AN_GNG	AN_GNG_197		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_198		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_199		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_20		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_200		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_201		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_202		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_203		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_204		general_term	FBbt:00048301	adult ascending neuron
